ano_dado,variavel,linhas,nao_ausentes,minimo,maximo,ausentes
2015,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,50.0,100.0,0
2015,educ_aprovacao_fundamental_pct,5570,5570,54.9,100.0,0
2015,educ_aprovacao_medio_pct,5570,5560,38.0,100.0,10
2015,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,44.7,0
2015,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,48.4,0
2015,educ_reprovacao_fundamental_pct,5570,5570,0.0,42.5,0
2015,educ_reprovacao_medio_pct,5570,5560,0.0,50.9,10
2015,impostos_liquidos_mil_reais,5570,5570,-6738.998,113823596.248,0
2015,pib_mil_reais,5570,5570,11501.402,653646991.153,0
2015,pib_per_capita_reais,5570,5570,3089.57,513142.01,0
2015,populacao,5571,5570,818.0,11967825.0,1
2015,vab_administracao_publica_mil_reais,5570,5570,6615.66,83294594.587,0
2015,vab_agropecuaria_mil_reais,5570,5570,-2298.91,1773047.25,0
2015,vab_industria_mil_reais,5570,5570,337.797,66082751.683,0
2015,vab_servicos_mil_reais,5570,5570,1969.527,432441078.055,0
2015,vab_total_mil_reais,5570,5570,11123.352,539823394.905,0
2016,cempre_pessoal_assalariado_ate2021,5570,5570,4.0,4896632.0,0
2016,cempre_pessoal_ocupado_ate2021,5570,5570,25.0,5634681.0,0
2016,cempre_remuneracoes_mil_reais_ate2021,5570,5570,74.0,239895662.0,0
2016,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.7,11.6,0
2016,cempre_unidades_locais_ate2021,5570,5570,8.0,569870.0,0
2016,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,36.4,0
2016,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,25.4,0
2016,educ_abandono_fundamental_pct,5570,5570,0.0,22.7,0
2016,educ_abandono_medio_pct,5570,5561,0.0,53.5,9
2016,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,48.8,100.0,0
2016,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,61.2,100.0,0
2016,educ_aprovacao_fundamental_pct,5570,5570,63.7,100.0,0
2016,educ_aprovacao_medio_pct,5570,5561,38.7,100.0,9
2016,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,48.0,0
2016,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,38.3,0
