variavel_original,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NU_NOTA_MT,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_REDACAO,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q001,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q002,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q003,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q004,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q005,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q006,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q007,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q008,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q009,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q01,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q010,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q011,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q012,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q013,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q014,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q015,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q016,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q017,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q018,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q019,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q02,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q020,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q021,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q022,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q023,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q024,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q025,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Q026,False,True,True,True,True,True,True,True,True,False,False,False,False,False
Q027,False,True,True,True,True,True,True,True,True,False,False,False,False,False
Q028,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q029,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q03,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q030,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q031,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q032,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q033,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q034,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q035,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q036,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q037,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q038,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q039,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q04,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q040,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q041,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q042,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q043,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q044,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q045,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q046,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q047,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q048,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q049,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q05,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q050,False,True,True,True,True,True,True,False,False,False,False,False,False,False
Q051,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q052,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q053,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q054,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q055,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q056,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q057,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q058,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q059,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q06,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q060,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q061,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q062,False,True,True,True,True,False,False,False,False,False,False,False,False,False
Q063,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q064,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q065,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q066,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q067,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q068,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q069,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q07,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q070,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q071,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q072,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q073,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q074,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q075,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Q076,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Q08,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q09,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q10,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q11,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q12,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q13,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q14,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q15,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q16,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q17,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q18,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q19,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q20,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q21,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q22,True,False,False,False,False,False,False,False,False,False,False,False,False,False
